ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
618191728,Audio,Common Tailorbird,Orthotomus sutorius,,Chaiti Banerjee,2024-04-30,2024,4,30,721,India,IN-WB-PS,West Bengal,South 24 Parganas,"176 Jodhpur Park Road, Kolkata, West Bengal, IN (22.506, 88.362)",22.5061276,88.3618752,"",,Unspecified,"","",,,,,,,S171068049,"",,,,,Orthotomus sutorius,comtai1,Species,22738,,.00,0,,,
618191710,Audio,Common Tailorbird,Orthotomus sutorius,,Chaiti Banerjee,2024-04-30,2024,4,30,721,India,IN-WB-PS,West Bengal,South 24 Parganas,"176 Jodhpur Park Road, Kolkata, West Bengal, IN (22.506, 88.362)",22.5061276,88.3618752,"",,Unspecified,"","",,,,,,,S171068049,"",,,,,Orthotomus sutorius,comtai1,Species,22738,,.00,0,,,
618188027,Audio,Rufous Sibia,Heterophasia capistrata,,Samanvitha Rao,2024-04-24,2024,4,24,1408,India,IN-SK-ES,Sikkim,East Sikkim,Phadamchen,27.2434639,88.7732618,"",,Unspecified,"","",,,,,,,S170052888,"",,,,,Heterophasia capistrata,rufsib1,Species,26055,,.00,0,,,
618188013,Audio,Yellow-throated Fulvetta,Schoeniparus cinereus,,Samanvitha Rao,2024-04-24,2024,4,24,1408,India,IN-SK-ES,Sikkim,East Sikkim,Phadamchen,27.2434639,88.7732618,"",,Unspecified,"","",,,,,,,S170052888,"",,,,,Schoeniparus cinereus,yetful1,Species,25734,,.00,0,,,
618188014,Audio,Yellow-throated Fulvetta,Schoeniparus cinereus,,Samanvitha Rao,2024-04-24,2024,4,24,1408,India,IN-SK-ES,Sikkim,East Sikkim,Phadamchen,27.2434639,88.7732618,"",,Unspecified,"","",,,,,,,S170052888,"",,,,,Schoeniparus cinereus,yetful1,Species,25734,,.00,0,,,
618188009,Audio,Sikkim Treecreeper (Brown-throated Treecreeper),Certhia discolor,,Samanvitha Rao,2024-04-24,2024,4,24,1408,India,IN-SK-ES,Sikkim,East Sikkim,Phadamchen,27.2434639,88.7732618,"",,Unspecified,"","",,,,,,,S170052888,"",,,,,Certhia discolor,bnttre1,Species,26595,,.00,0,,,
618187980,Audio,Grey-hooded Warbler,Phylloscopus xanthoschistos,,Samanvitha Rao,2024-04-24,2024,4,24,1408,India,IN-SK-ES,Sikkim,East Sikkim,Phadamchen,27.2434639,88.7732618,"",,Unspecified,"","",,,,,,,S170052888,"",,,,,Phylloscopus xanthoschistos,gyhwar2,Species,24561,,.00,0,,,
618187070,Audio,"Whistler's Warbler",Phylloscopus whistleri,,Samanvitha Rao,2024-04-24,2024,4,24,1020,India,IN-SK-ES,Sikkim,East Sikkim,Dzuluk (Zuluk),27.2519971,88.7794876,"",,Unspecified,"","",,,,,,,S170037563,"",,,,,Phylloscopus whistleri,whiwar2,Species,24489,,.00,0,,,
618186855,Audio,White-browed Fulvetta,Fulvetta vinipectus,,Samanvitha Rao,2024-04-24,2024,4,24,1020,India,IN-SK-ES,Sikkim,East Sikkim,Dzuluk (Zuluk),27.2519971,88.7794876,"",,Unspecified,"","",,,,,,,S170037563,"",,,,,Fulvetta vinipectus,whbful1,Species,24983,,.00,0,,,
618186851,Audio,Slender-billed Scimitar-Babbler,Pomatorhinus superciliaris,,Samanvitha Rao,2024-04-24,2024,4,24,1020,India,IN-SK-ES,Sikkim,East Sikkim,Dzuluk (Zuluk),27.2519971,88.7794876,"",,Unspecified,"","",,,,,,,S170037563,"",,,,,Pomatorhinus superciliaris,sbsbab1,Species,25579,,.00,0,,,
618160740,Audio,Alexandrine Parakeet,Psittacula eupatria,,Rajesh Kalra,2024-04-28,2024,4,28,1530,India,IN-DL-SH,Delhi,Shahdara,Jagriti,28.6488339,77.3118012,"",,Unspecified,"","",,,,,,,S170697213,"",,,,,Psittacula eupatria,alepar2,Species,12104,,.00,0,,,
618157343,Audio,Oriental Magpie-Robin,Copsychus saularis,,Dinesh Kuruganti,2024-04-28,2024,4,28,1830,India,IN-KL-AL,Kerala,Alappuzha,Flamingo boutique Hotel,9.5840520,76.3055970,"",,Unspecified,"","",,,,,,,S170989138,"",,,,,Copsychus saularis,magrob,Species,28501,,.00,0,,,
618151374,Audio,Heart-spotted Woodpecker,Hemicircus canente,,Srinivas Mallela,2024-04-08,2024,4,8,1600,India,IN-TS-BK,Telangana,Bhadradri Kothagudem,Gubbala Mangamma Thalli Kshetram,17.3447615,81.3040148,"",,Unspecified,"","",,,,,,,S167753179,"",,,,Seen,Hemicircus canente,heswoo1,Species,10903,,3.00,2,,,
618150389,Audio,Jungle Bush-Quail,Perdicula asiatica,,Srinivas Mallela,2024-04-28,2024,4,28,1620,India,IN-TS-SR,Telangana,Sangareddy,"Malkapur Farm [Jadi], Telangana",17.5650867,77.6088183,"",,Unspecified,"","",,,,,,,S170704321,"",,,,Seen and heard,Perdicula asiatica,jubqua1,Species,1725,,4.00,1,,,
618150305,Audio,Painted Francolin,Francolinus pictus,,Srinivas Mallela,2024-04-28,2024,4,28,1620,India,IN-TS-SR,Telangana,Sangareddy,"Malkapur Farm [Jadi], Telangana",17.5650867,77.6088183,"",,Unspecified,"","",,,,,,,S170704321,Unconfirmed,,,,Calls,Francolinus pictus,paifra1,Species,1598,,1.00,1,,,
618149712,Audio,Great Parrotbill,Conostoma aemodium,,Samanvitha Rao,2024-04-24,2024,4,24,542,India,IN-SK-ES,Sikkim,East Sikkim,Dzuluk (Zuluk),27.2519971,88.7794876,"",,Unspecified,"","",,,,,,,S170034391,"",,,,,Conostoma aemodium,grepar1,Species,25015,,.00,0,,,
618149716,Audio,Great Parrotbill,Conostoma aemodium,,Samanvitha Rao,2024-04-24,2024,4,24,542,India,IN-SK-ES,Sikkim,East Sikkim,Dzuluk (Zuluk),27.2519971,88.7794876,"",,Unspecified,"","",,,,,,,S170034391,"",,,,,Conostoma aemodium,grepar1,Species,25015,,.00,0,,,
618149590,Audio,Grey Francolin,Ortygornis pondicerianus,,Dr Bipasha David,2024-04-28,2024,4,28,643,India,IN-UP-AH,Uttar Pradesh,Prayagraj,Arail,25.4097784,81.8901301,"",,Unspecified,"","",,,,,,,S170653638,"",,,,,Ortygornis pondicerianus,gryfra,Species,1581,,3.00,1,,,
618149500,Audio,Red-wattled Lapwing,Vanellus indicus,,Dr Bipasha David,2024-04-28,2024,4,28,643,India,IN-UP-AH,Uttar Pradesh,Prayagraj,Arail,25.4097784,81.8901301,"",,Unspecified,"","",,,,,,,S170653638,"",,,,,Vanellus indicus,rewlap1,Species,5850,,3.00,1,,,
618149490,Audio,Red-wattled Lapwing,Vanellus indicus,,Dr Bipasha David,2024-04-28,2024,4,28,643,India,IN-UP-AH,Uttar Pradesh,Prayagraj,Arail,25.4097784,81.8901301,"",,Unspecified,"","",,,,,,,S170653638,"",,,,,Vanellus indicus,rewlap1,Species,5850,,3.00,1,,,
618149446,Audio,"Hume's Bush Warbler",Horornis brunnescens,,Samanvitha Rao,2024-04-24,2024,4,24,542,India,IN-SK-ES,Sikkim,East Sikkim,Dzuluk (Zuluk),27.2519971,88.7794876,"",,Unspecified,"","",,,,,,,S170034391,"",,,,,Horornis brunnescens,yebbuw2,Species,24756,,.00,0,,,
618149059,Audio,Golden Bush-Robin,Tarsiger chrysaeus,,Samanvitha Rao,2024-04-24,2024,4,24,542,India,IN-SK-ES,Sikkim,East Sikkim,Dzuluk (Zuluk),27.2519971,88.7794876,"",,Unspecified,"","",,,,,,,S170034391,"",,,,,Tarsiger chrysaeus,gobrob1,Species,28995,,.00,0,,,
618149001,Audio,Large Hawk-Cuckoo,Hierococcyx sparverioides,,Samanvitha Rao,2024-04-23,2024,4,23,1025,India,IN-SK-ES,Sikkim,East Sikkim,Dzuluk (Zuluk),27.2519971,88.7794876,"",,Unspecified,"","",,,,,,,S169900213,"",,,,,Hierococcyx sparverioides,larhac2,Species,3395,,.00,0,,,
618148957,Audio,Rufous-breasted Bush-Robin,Tarsiger hyperythrus,,Samanvitha Rao,2024-04-23,2024,4,23,534,India,IN-SK-ES,Sikkim,East Sikkim,Dzuluk (Zuluk),27.2519971,88.7794876,"",,Unspecified,"","",,,,,,,S169892543,"",,,,,Tarsiger hyperythrus,rbbrob1,Species,28989,,.00,0,,,
618148469,Audio,Red-wattled Lapwing,Vanellus indicus,,Dr Bipasha David,2024-04-28,2024,4,28,703,India,IN-UP-AH,Uttar Pradesh,Prayagraj,"Someshwar Mahadev Road, Prayagraj, Uttar Pradesh, IN (25.409, 81.891)",25.4087784,81.8905566,"",,Unspecified,"","",,,,,,,S170653871,"",,,,,Vanellus indicus,rewlap1,Species,5850,,3.00,1,,,
618148454,Audio,Indian Peafowl,Pavo cristatus,,Dr Bipasha David,2024-04-28,2024,4,28,703,India,IN-UP-AH,Uttar Pradesh,Prayagraj,"Someshwar Mahadev Road, Prayagraj, Uttar Pradesh, IN (25.409, 81.891)",25.4087784,81.8905566,"",,Unspecified,"","",,,,,,,S170653871,"",,,,,Pavo cristatus,compea,Species,1515,,3.00,1,,,
618148340,Audio,White-breasted Waterhen,Amaurornis phoenicurus,,Dr Bipasha David,2024-04-28,2024,4,28,703,India,IN-UP-AH,Uttar Pradesh,Prayagraj,"Someshwar Mahadev Road, Prayagraj, Uttar Pradesh, IN (25.409, 81.891)",25.4087784,81.8905566,"",,Unspecified,"","",,,,,,,S170653871,"",,,,,Amaurornis phoenicurus,whbwat1,Species,5526,,4.00,1,,,
618148292,Audio,Jungle Babbler,Argya striata,,Dr Bipasha David,2024-04-28,2024,4,28,703,India,IN-UP-AH,Uttar Pradesh,Prayagraj,"Someshwar Mahadev Road, Prayagraj, Uttar Pradesh, IN (25.409, 81.891)",25.4087784,81.8905566,"",,Unspecified,"","",,,,,,,S170653871,"",,,,,Argya striata,junbab2,Species,26160,,4.00,1,,,
618148142,Audio,Rufous-breasted Bush-Robin,Tarsiger hyperythrus,,Samanvitha Rao,2024-04-23,2024,4,23,534,India,IN-SK-ES,Sikkim,East Sikkim,Dzuluk (Zuluk),27.2519971,88.7794876,"",,Unspecified,"","",,,,,,,S169892543,"",,,,,Tarsiger hyperythrus,rbbrob1,Species,28989,,.00,0,,,
618147943,Audio,Eurasian Collared-Dove,Streptopelia decaocto,,Dr Bipasha David,2024-04-28,2024,4,28,703,India,IN-UP-AH,Uttar Pradesh,Prayagraj,"Someshwar Mahadev Road, Prayagraj, Uttar Pradesh, IN (25.409, 81.891)",25.4087784,81.8905566,"",,Unspecified,"","",,,,,,,S170653871,"",,,,,Streptopelia decaocto,eucdov,Species,2051,,4.00,1,,,
618147904,Audio,White-throated Kingfisher,Halcyon smyrnensis,,Dr Bipasha David,2024-04-28,2024,4,28,703,India,IN-UP-AH,Uttar Pradesh,Prayagraj,"Someshwar Mahadev Road, Prayagraj, Uttar Pradesh, IN (25.409, 81.891)",25.4087784,81.8905566,"",,Unspecified,"","",,,,,,,S170653871,"",,,,,Halcyon smyrnensis,whtkin2,Species,9795,,4.00,1,,,
618147863,Audio,White-breasted Waterhen,Amaurornis phoenicurus,,Dr Bipasha David,2024-04-28,2024,4,28,703,India,IN-UP-AH,Uttar Pradesh,Prayagraj,"Someshwar Mahadev Road, Prayagraj, Uttar Pradesh, IN (25.409, 81.891)",25.4087784,81.8905566,"",,Unspecified,"","",,,,,,,S170653871,"",,,,,Amaurornis phoenicurus,whbwat1,Species,5526,,3.00,1,,,
618147855,Audio,White-breasted Waterhen,Amaurornis phoenicurus,,Dr Bipasha David,2024-04-28,2024,4,28,703,India,IN-UP-AH,Uttar Pradesh,Prayagraj,"Someshwar Mahadev Road, Prayagraj, Uttar Pradesh, IN (25.409, 81.891)",25.4087784,81.8905566,"",,Unspecified,"","",,,,,,,S170653871,"",,,,,Amaurornis phoenicurus,whbwat1,Species,5526,,4.00,1,,,
618147851,Audio,White-breasted Waterhen,Amaurornis phoenicurus,,Dr Bipasha David,2024-04-28,2024,4,28,703,India,IN-UP-AH,Uttar Pradesh,Prayagraj,"Someshwar Mahadev Road, Prayagraj, Uttar Pradesh, IN (25.409, 81.891)",25.4087784,81.8905566,"",,Unspecified,"","",,,,,,,S170653871,"",,,,,Amaurornis phoenicurus,whbwat1,Species,5526,,3.00,1,,,
618147771,Audio,Himalayan Cutia,Cutia nipalensis,,Samanvitha Rao,2024-04-22,2024,4,22,850,India,IN-SK-ES,Sikkim,East Sikkim,Changthang-Naitam-Pabyuik,27.3056264,88.6503004,"",,Unspecified,"","",,,,,,,S169756525,"",,,,,Cutia nipalensis,cutia1,Species,25977,,.00,0,,,
618147479,Audio,Greater Coucal,Centropus sinensis,,Dr Bipasha David,2024-04-28,2024,4,28,703,India,IN-UP-AH,Uttar Pradesh,Prayagraj,"Someshwar Mahadev Road, Prayagraj, Uttar Pradesh, IN (25.409, 81.891)",25.4087784,81.8905566,"",,Unspecified,"","",,,,,,,S170653871,"",,,,,Centropus sinensis,grecou1,Species,3116,,4.00,1,,,
618147470,Audio,Himalayan Black Bulbul,Hypsipetes leucocephalus,,Samanvitha Rao,2024-04-22,2024,4,22,850,India,IN-SK-ES,Sikkim,East Sikkim,Changthang-Naitam-Pabyuik,27.3056264,88.6503004,"",,Unspecified,"","",,,,,,,S169756525,"",,,,,Hypsipetes leucocephalus,blabul1,Species,24173,,.00,0,,,
618147411,Audio,Oriental Magpie-Robin,Copsychus saularis,,Dr Bipasha David,2024-04-29,2024,4,29,1653,India,IN-UP-AH,Uttar Pradesh,Prayagraj,Sam Higginbottom University of Agricultural Technology and Sciences (SHUATS),25.4120356,81.8476295,"",,Unspecified,"","",,,,,,,S170939313,"",,,,,Copsychus saularis,magrob,Species,28501,,4.00,1,,,
618147397,Audio,Indian Robin,Copsychus fulicatus,,Dr Bipasha David,2024-04-29,2024,4,29,1653,India,IN-UP-AH,Uttar Pradesh,Prayagraj,Sam Higginbottom University of Agricultural Technology and Sciences (SHUATS),25.4120356,81.8476295,"",,Unspecified,"","",,,,,,,S170939313,"",,,,,Copsychus fulicatus,indrob1,Species,28495,,4.00,1,,,
618147382,Audio,Indian Robin,Copsychus fulicatus,,Dr Bipasha David,2024-04-29,2024,4,29,1653,India,IN-UP-AH,Uttar Pradesh,Prayagraj,Sam Higginbottom University of Agricultural Technology and Sciences (SHUATS),25.4120356,81.8476295,"",,Unspecified,"","",,,,,,,S170939313,"",,,,,Copsychus fulicatus,indrob1,Species,28495,,4.00,1,,,
618147315,Audio,Golden-throated Barbet,Psilopogon franklinii,,Samanvitha Rao,2024-04-22,2024,4,22,850,India,IN-SK-ES,Sikkim,East Sikkim,Changthang-Naitam-Pabyuik,27.3056264,88.6503004,"",,Unspecified,"","",,,,,,,S169756525,"",,,,,Psilopogon franklinii,gotbar2,Species,10541,,.00,0,,,
618147307,Audio,Red-faced Liocichla,Liocichla phoenicea,,Samanvitha Rao,2024-04-22,2024,4,22,850,India,IN-SK-ES,Sikkim,East Sikkim,Changthang-Naitam-Pabyuik,27.3056264,88.6503004,"",,Unspecified,"","",,,,,,,S169756525,"",,,,,Liocichla phoenicea,reflio2,Species,26147,,.00,0,,,
618147303,Audio,Red-faced Liocichla,Liocichla phoenicea,,Samanvitha Rao,2024-04-22,2024,4,22,850,India,IN-SK-ES,Sikkim,East Sikkim,Changthang-Naitam-Pabyuik,27.3056264,88.6503004,"",,Unspecified,"","",,,,,,,S169756525,"",,,,,Liocichla phoenicea,reflio2,Species,26147,,.00,0,,,
618146505,Audio,Oriental Magpie-Robin (Oriental),Copsychus saularis [saularis Group],,Dhyey Shah,2024-04-29,2024,4,29,1831,India,IN-GJ-VD,Gujarat,Vadodara,"39, Gitanagar Society, gujarat",22.2907034,73.2090492,"",Song,Not Used,"","",,,Sony ICD - PX470,,,,S170934209,Unconfirmed,,,,C. s. saularis,Copsychus saularis,orimar1,Group,28502,,5.00,1,"",,
618146504,Audio,Oriental Magpie-Robin (Oriental),Copsychus saularis [saularis Group],,Dhyey Shah,2024-04-29,2024,4,29,1831,India,IN-GJ-VD,Gujarat,Vadodara,"39, Gitanagar Society, gujarat",22.2907034,73.2090492,Adult Male – 1,Song,Not Used,"","",,,Sony ICD - PX470,,,,S170934209,Unconfirmed,,,,C. s. saularis,Copsychus saularis,orimar1,Group,28502,,.00,0,"",,
618146503,Audio,Oriental Magpie-Robin (Oriental),Copsychus saularis [saularis Group],,Dhyey Shah,2024-04-29,2024,4,29,1831,India,IN-GJ-VD,Gujarat,Vadodara,"39, Gitanagar Society, gujarat",22.2907034,73.2090492,Adult Male – 1,"Call; Dawn Song; Song",Not Used,"","",,,Sony ICD - PX470,,,,S170934209,Unconfirmed,,,,C. s. saularis,Copsychus saularis,orimar1,Group,28502,,.00,0,"",,
618146502,Audio,Oriental Magpie-Robin (Oriental),Copsychus saularis [saularis Group],,Dhyey Shah,2024-04-29,2024,4,29,1831,India,IN-GJ-VD,Gujarat,Vadodara,"39, Gitanagar Society, gujarat",22.2907034,73.2090492,Adult Male – 1,Song,Not Used,"","",,,Sony ICD - PX470,,,,S170934209,Unconfirmed,,,,C. s. saularis,Copsychus saularis,orimar1,Group,28502,,.00,0,"",,
618145346,Audio,Cachar Wedge-billed Babbler (Chevron-breasted Babbler),Stachyris roberti,,Karthik Sharma,2024-04-29,2024,4,29,1000,India,IN-AR-LD,Arunachal Pradesh,Lower Dibang Valley,Mishmi Hills--Baramile (12th Mile),28.2112391,95.8071756,"",,Unspecified,"","",,,,,,,S170926730,"",,,,,Stachyris roberti,chbbab1,Species,25677,,.00,0,,,
618145341,Audio,White-browed Shrike-Babbler,Pteruthius aeralatus,,Karthik Sharma,2024-04-29,2024,4,29,1000,India,IN-AR-LD,Arunachal Pradesh,Lower Dibang Valley,Mishmi Hills--Baramile (12th Mile),28.2112391,95.8071756,"",,Unspecified,"","",,,,,,,S170926730,"",,,,,Pteruthius aeralatus,whbshb1,Species,18670,,.00,0,,,
618145332,Audio,Large Hawk-Cuckoo,Hierococcyx sparverioides,,Karthik Sharma,2024-04-29,2024,4,29,1000,India,IN-AR-LD,Arunachal Pradesh,Lower Dibang Valley,Mishmi Hills--Baramile (12th Mile),28.2112391,95.8071756,"",,Unspecified,"","",,,,,,,S170926730,"",,,,,Hierococcyx sparverioides,larhac2,Species,3395,,.00,0,,,
618144978,Audio,Large Hawk-Cuckoo,Hierococcyx sparverioides,,Karthik Sharma,2024-04-29,2024,4,29,1330,India,IN-AR-LD,Arunachal Pradesh,Lower Dibang Valley,Mishmi Hills--Tiwari Gaon (28 km),28.2228171,95.8348869,"",,Unspecified,"","",,,,,,,S170927097,"",,,,Calls Heard,Hierococcyx sparverioides,larhac2,Species,3395,,.00,0,,,
618144841,Audio,Golden-throated Barbet,Psilopogon franklinii,,Samanvitha Rao,2024-04-22,2024,4,22,850,India,IN-SK-ES,Sikkim,East Sikkim,Changthang-Naitam-Pabyuik,27.3056264,88.6503004,"",,Unspecified,"","",,,,,,,S169756525,"",,,,,Psilopogon franklinii,gotbar2,Species,10541,,.00,0,,,
618144808,Audio,Silver-eared Mesia,Leiothrix argentauris,,Samanvitha Rao,2024-04-22,2024,4,22,522,India,IN-SK-ES,Sikkim,East Sikkim,Changthang-Naitam-Pabyuik,27.3056264,88.6503004,"",,Unspecified,"","",,,,,,,S169748638,"",,,,,Leiothrix argentauris,siemes1,Species,26119,,.00,0,,,
618144807,Audio,Silver-eared Mesia,Leiothrix argentauris,,Samanvitha Rao,2024-04-22,2024,4,22,522,India,IN-SK-ES,Sikkim,East Sikkim,Changthang-Naitam-Pabyuik,27.3056264,88.6503004,"",,Unspecified,"","",,,,,,,S169748638,"",,,,,Leiothrix argentauris,siemes1,Species,26119,,.00,0,,,
618144804,Audio,Grey Treepie,Dendrocitta formosae,,Samanvitha Rao,2024-04-22,2024,4,22,522,India,IN-SK-ES,Sikkim,East Sikkim,Changthang-Naitam-Pabyuik,27.3056264,88.6503004,"",,Unspecified,"","",,,,,,,S169748638,"",,,,,Dendrocitta formosae,grytre1,Species,21053,,.00,0,,,
618144803,Audio,Grey Treepie,Dendrocitta formosae,,Samanvitha Rao,2024-04-22,2024,4,22,522,India,IN-SK-ES,Sikkim,East Sikkim,Changthang-Naitam-Pabyuik,27.3056264,88.6503004,"",,Unspecified,"","",,,,,,,S169748638,"",,,,,Dendrocitta formosae,grytre1,Species,21053,,.00,0,,,
618144805,Audio,Grey Treepie,Dendrocitta formosae,,Samanvitha Rao,2024-04-22,2024,4,22,522,India,IN-SK-ES,Sikkim,East Sikkim,Changthang-Naitam-Pabyuik,27.3056264,88.6503004,"",,Unspecified,"","",,,,,,,S169748638,"",,,,,Dendrocitta formosae,grytre1,Species,21053,,.00,0,,,
618144179,Audio,Mountain Scops-Owl,Otus spilocephalus,,Samanvitha Rao,2024-04-21,2024,4,21,1915,India,IN-SK-ES,Sikkim,East Sikkim,Changthang-Naitam-Pabyuik,27.3056264,88.6503004,"",,Unspecified,"","",,,,,,,S169762923,"",,,,,Otus spilocephalus,mosowl2,Species,8471,,.00,0,,,
618144178,Audio,Mountain Scops-Owl,Otus spilocephalus,,Samanvitha Rao,2024-04-21,2024,4,21,1915,India,IN-SK-ES,Sikkim,East Sikkim,Changthang-Naitam-Pabyuik,27.3056264,88.6503004,"",,Unspecified,"","",,,,,,,S169762923,"",,,,,Otus spilocephalus,mosowl2,Species,8471,,.00,0,,,
618144153,Audio,Large Hawk-Cuckoo,Hierococcyx sparverioides,,Samanvitha Rao,2024-04-21,2024,4,21,1615,India,IN-SK-ES,Sikkim,East Sikkim,Changthang-Naitam-Pabyuik,27.3056264,88.6503004,"",,Unspecified,"","",,,,,,,S169603640,"",,,,,Hierococcyx sparverioides,larhac2,Species,3395,,.00,0,,,
618144150,Audio,Blue-winged Laughingthrush,Trochalopteron squamatum,,Samanvitha Rao,2024-04-21,2024,4,21,1615,India,IN-SK-ES,Sikkim,East Sikkim,Changthang-Naitam-Pabyuik,27.3056264,88.6503004,"",,Unspecified,"","",,,,,,,S169603640,"",,,,,Trochalopteron squamatum,blwlau1,Species,25993,,.00,0,,,
618144149,Audio,Blue-winged Laughingthrush,Trochalopteron squamatum,,Samanvitha Rao,2024-04-21,2024,4,21,1615,India,IN-SK-ES,Sikkim,East Sikkim,Changthang-Naitam-Pabyuik,27.3056264,88.6503004,"",,Unspecified,"","",,,,,,,S169603640,"",,,,,Trochalopteron squamatum,blwlau1,Species,25993,,.00,0,,,
618140561,Audio,Brown-cheeked Fulvetta,Alcippe poioicephala,,Ahmad Najam Saquib,2024-04-29,2024,4,29,730,India,IN-JH-RA,Jharkhand,Ranchi,Horhap FRH,23.3325821,85.4642773,"",,Unspecified,"","",,,,,,,S170891780,"",,,,,Alcippe poioicephala,brcful1,Species,25937,,.00,0,,,
618140315,Audio,Changeable Hawk-Eagle,Nisaetus cirrhatus,,Shree Raksha,2024-04-28,2024,4,28,706,India,IN-KA-BN,Karnataka,Bengaluru Urban,Aagara-BM Kaval Kere (near Valley School),12.8504649,77.4897909,"",,Unspecified,"","",,,,,,,S170893804,"",,,,Call recordings attached,Nisaetus cirrhatus,y00839,Species,7826,,.00,0,,,
618140337,Audio,Common Woodshrike,Tephrodornis pondicerianus,,Shree Raksha,2024-04-28,2024,4,28,706,India,IN-KA-BN,Karnataka,Bengaluru Urban,Aagara-BM Kaval Kere (near Valley School),12.8504649,77.4897909,"",,Unspecified,"","",,,,,,,S170893804,"",,,,Pictures attached,Tephrodornis pondicerianus,comwoo1,Species,19570,,.00,0,,,
618138920,Audio,Square-tailed Bulbul (Black Bulbul),Hypsipetes ganeesa,,Prachee J,2024-04-28,2024,4,28,1723,India,IN-MH-ST,Maharashtra,Satara,Babbington point,17.9088561,73.6562598,"",,Unspecified,"","",,,,,,,S170726615,"",,,,Calls,Hypsipetes ganeesa,sqtbul1,Species,24187,,4.00,1,,,
618138370,Audio,Common Myna,Acridotheres tristis,"Copsychus fulicatus -- Indian Robin; Cinnyris asiaticus -- Purple Sunbird",Naushad Theba,2024-04-29,2024,4,29,816,India,IN-GJ-GA,Gujarat,Gandhinagar,"Home, Gandhinagar, Gujarat, IN (23.232, 72.664)",23.2324967,72.6643267,"",Song,Not Used,"","",,,OnePlus 11R mobile ,,,,S170890576,"",,,,,Acridotheres tristis,commyn,Species,27402,,4.00,1,"",,
618137590,Audio,Asian Koel,Eudynamys scolopaceus,,Naushad Theba,2024-04-29,2024,4,29,816,India,IN-GJ-GA,Gujarat,Gandhinagar,"Home, Gandhinagar, Gujarat, IN (23.232, 72.664)",23.2324967,72.6643267,Adult Male – 1,Song,Unspecified,"","",,,OnePlus 11R mobile ,,,,S170890576,"",,,,,Eudynamys scolopaceus,asikoe2,Species,3261,,4.00,1,"",,
618136152,Audio,White-breasted Waterhen,Amaurornis phoenicurus,,Prem swaroop Kolluru,2024-04-28,2024,4,28,736,India,IN-AP-VS,Andhra Pradesh,Visakhapatnam,Boni Lake,17.9596158,83.3344953,"",,Unspecified,"","",,,,,,,S170650410,"",,,,,Amaurornis phoenicurus,whbwat1,Species,5526,,.00,0,,,
618135924,Audio,Indian Scimitar-Babbler,Pomatorhinus horsfieldii,,Shajan Shaki,2024-04-27,2024,4,27,1528,India,IN-TN-SA,Tamil Nadu,Salem,"Kottachedu, Yercaud கொட்டச்சேடு, ஏற்காடு",11.7937976,78.2736877,"",,Unspecified,"","",,,,,,,S170501143,"",,,,,Pomatorhinus horsfieldii,insbab1,Species,25614,,.00,0,,,
618128749,Audio,House Sparrow,Passer domesticus,,Chaiti Banerjee,2024-04-29,2024,4,29,728,India,IN-WB-PS,West Bengal,South 24 Parganas,Jodhpur Park,22.5058241,88.3645741,"",,Unspecified,"","",,,,,,,S170882894,"",,,,,Passer domesticus,houspa,Species,31018,,.00,0,,,
618128729,Audio,Jungle Myna,Acridotheres fuscus,,Chaiti Banerjee,2024-04-29,2024,4,29,728,India,IN-WB-PS,West Bengal,South 24 Parganas,Jodhpur Park,22.5058241,88.3645741,"",,Unspecified,"","",,,,,,,S170882894,"",,,,,Acridotheres fuscus,junmyn1,Species,27413,,.00,0,,,
618128695,Audio,Coppersmith Barbet,Psilopogon haemacephalus,,Chaiti Banerjee,2024-04-29,2024,4,29,728,India,IN-WB-PS,West Bengal,South 24 Parganas,Jodhpur Park,22.5058241,88.3645741,"",,Unspecified,"","",,,,,,,S170882894,"",,,,,Psilopogon haemacephalus,copbar1,Species,10478,,.00,0,,,
618127178,Audio,Oriental Magpie-Robin,Copsychus saularis,,Madhavi Babtiwale,2024-04-21,2024,4,21,556,India,IN-MH-NG,Maharashtra,Nagpur,"Vishram Appartments,Shivaji nagar Nagpur, Maharashtra",21.1368085,79.0563362,"",,Unspecified,"","",,,,,,,S169554868,"",,,,,Copsychus saularis,magrob,Species,28501,,4.00,1,,,
618127082,Audio,Common Tailorbird,Orthotomus sutorius,,Madhavi Babtiwale,2024-04-21,2024,4,21,556,India,IN-MH-NG,Maharashtra,Nagpur,"Vishram Appartments,Shivaji nagar Nagpur, Maharashtra",21.1368085,79.0563362,"",,Unspecified,"","",,,,,,,S169554868,"",,,,,Orthotomus sutorius,comtai1,Species,22738,,4.00,1,,,
