ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Caption,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
633014133,Audio,Nilgiri Flowerpecker,Dicaeum concolor,,,Shamik Sathe,2025-03-31,2025,3,31,1130,India,IN-MH-PU,Maharashtra,Pune,"Panshet - Ghol Road, Pune, Maharashtra, IN (18.338, 73.462)",18.3375856,73.4620823,"",,Unspecified,"","",,,,,,,S222275165,"",,,,,Dicaeum concolor,plaflo1,Species,29765,,.00,0,,,
633014131,Audio,Nilgiri Flowerpecker,Dicaeum concolor,,,Shamik Sathe,2025-03-31,2025,3,31,1130,India,IN-MH-PU,Maharashtra,Pune,"Panshet - Ghol Road, Pune, Maharashtra, IN (18.338, 73.462)",18.3375856,73.4620823,"",,Unspecified,"","",,,,,,,S222275165,"",,,,,Dicaeum concolor,plaflo1,Species,29765,,.00,0,,,
633014117,Audio,Indian Blackbird,Turdus simillimus,,,Shamik Sathe,2025-03-31,2025,3,31,1130,India,IN-MH-PU,Maharashtra,Pune,"Panshet - Ghol Road, Pune, Maharashtra, IN (18.338, 73.462)",18.3375856,73.4620823,"",,Unspecified,"","",,,,,,,S222275165,"",,,,,Turdus simillimus,eurbla2,Species,28413,,.00,0,,,
633012627,Audio,Singing Bushlark,Mirafra javanica,Psittacula krameri -- Rose-ringed Parakeet,,Samartha S G,2025-03-30,2025,3,30,1530,India,IN-KA-CK,Karnataka,Chikkamagaluru,Kedigere,13.6642569,76.0588932,Adult – 1,"Call; Song",Not Used,"","",,,Merlin Sound ID,,,,S221806674,"",,,,"Seen. Outermost tail is white, no streaks on breast & place white throat. Fleshy & yellow gape.  Singing and Intimating calls & songs of other birds from water melon crops ( there were also weeds which covered those crops, so it was suitable habitat for this bird). Song is sweet with wonderful mimicry. Habitat photographed. Call & Song records available. More individuals may present in those crop.  It was previously known from basur kaval & its surroundings near basur ( https://ebird.org/checklist/S51988206 ).",Mirafra javanica,sinbus6,Species,22261,,.00,0,"",,
633012626,Audio,Singing Bushlark,Mirafra javanica,"Plocealauda affinis -- Jerdon's Bushlark",,Samartha S G,2025-03-30,2025,3,30,1530,India,IN-KA-CK,Karnataka,Chikkamagaluru,Kedigere,13.6642569,76.0588932,Adult – 1,"Call; Song",Not Used,"","",,,Merlin Sound ID,,,,S221806674,"",,,,"Seen. Outermost tail is white, no streaks on breast & place white throat. Fleshy & yellow gape.  Singing and Intimating calls & songs of other birds from water melon crops ( there were also weeds which covered those crops, so it was suitable habitat for this bird). Song is sweet with wonderful mimicry. Habitat photographed. Call & Song records available. More individuals may present in those crop.  It was previously known from basur kaval & its surroundings near basur ( https://ebird.org/checklist/S51988206 ).",Mirafra javanica,sinbus6,Species,22261,,.00,0,"",,
633012621,Audio,Singing Bushlark,Mirafra javanica,"Lanius cristatus -- Brown Shrike; Vanellus indicus -- Red-wattled Lapwing",,Samartha S G,2025-03-30,2025,3,30,1530,India,IN-KA-CK,Karnataka,Chikkamagaluru,Kedigere,13.6642569,76.0588932,Adult – 1,"Call; Song",Not Used,"","",,,Merlin Sound ID,,,,S221806674,"",,,,"Seen. Outermost tail is white, no streaks on breast & place white throat. Fleshy & yellow gape.  Singing and Intimating calls & songs of other birds from water melon crops ( there were also weeds which covered those crops, so it was suitable habitat for this bird). Song is sweet with wonderful mimicry. Habitat photographed. Call & Song records available. More individuals may present in those crop.  It was previously known from basur kaval & its surroundings near basur ( https://ebird.org/checklist/S51988206 ).",Mirafra javanica,sinbus6,Species,22261,,.00,0,"",,
633012620,Audio,Singing Bushlark,Mirafra javanica,"Pycnonotus cafer -- Red-vented Bulbul; Dinopium benghalense -- Black-rumped Flameback (Lesser Goldenbacked Woodpecker); Acridotheres tristis -- Common Myna",,Samartha S G,2025-03-30,2025,3,30,1530,India,IN-KA-CK,Karnataka,Chikkamagaluru,Kedigere,13.6642569,76.0588932,Adult – 1,"Call; Song",Not Used,"","",,,Merlin Sound ID,,,,S221806674,"",,,,"Seen. Outermost tail is white, no streaks on breast & place white throat. Fleshy & yellow gape.  Singing and Intimating calls & songs of other birds from water melon crops ( there were also weeds which covered those crops, so it was suitable habitat for this bird). Song is sweet with wonderful mimicry. Habitat photographed. Call & Song records available. More individuals may present in those crop.  It was previously known from basur kaval & its surroundings near basur ( https://ebird.org/checklist/S51988206 ).",Mirafra javanica,sinbus6,Species,22261,,.00,0,"",,
633012623,Audio,Singing Bushlark,Mirafra javanica,"Ortygornis pondicerianus -- Grey Francolin; Acridotheres tristis -- Common Myna; Vanellus malabaricus -- Yellow-wattled Lapwing; Cisticola juncidis -- Zitting Cisticola",,Samartha S G,2025-03-30,2025,3,30,1530,India,IN-KA-CK,Karnataka,Chikkamagaluru,Kedigere,13.6642569,76.0588932,Adult – 1,"Call; Song",Not Used,"","",,,Merlin Sound ID,,,,S221806674,"",,,,"Seen. Outermost tail is white, no streaks on breast & place white throat. Fleshy & yellow gape.  Singing and Intimating calls & songs of other birds from water melon crops ( there were also weeds which covered those crops, so it was suitable habitat for this bird). Song is sweet with wonderful mimicry. Habitat photographed. Call & Song records available. More individuals may present in those crop.  It was previously known from basur kaval & its surroundings near basur ( https://ebird.org/checklist/S51988206 ).",Mirafra javanica,sinbus6,Species,22261,,.00,0,"",,
633012581,Audio,Singing Bushlark,Mirafra javanica,"Vanellus indicus -- Red-wattled Lapwing; Acridotheres tristis -- Common Myna",,Samartha S G,2025-03-30,2025,3,30,1530,India,IN-KA-CK,Karnataka,Chikkamagaluru,Kedigere,13.6642569,76.0588932,Adult – 1,"Call; Song",Not Used,"","",,,Merlin Sound ID,,,,S221806674,"",,,,"Seen. Outermost tail is white, no streaks on breast & place white throat. Fleshy & yellow gape.  Singing and Intimating calls & songs of other birds from water melon crops ( there were also weeds which covered those crops, so it was suitable habitat for this bird). Song is sweet with wonderful mimicry. Habitat photographed. Call & Song records available. More individuals may present in those crop.  It was previously known from basur kaval & its surroundings near basur ( https://ebird.org/checklist/S51988206 ).",Mirafra javanica,sinbus6,Species,22261,,.00,0,"",,
633008077,Audio,Malabar Trogon,Harpactes fasciatus,,,Vaibhav PatiL,2025-03-28,2025,3,28,1531,India,IN-MH-SI,Maharashtra,Sindhudurg,Khadpade Ghat,15.8166061,73.9781884,"",,Unspecified,"","",,,,,,,S221774397,"",,,,,Harpactes fasciatus,maltro1,Species,9366,,.00,0,,,
633008079,Audio,Malabar Trogon,Harpactes fasciatus,,,Vaibhav PatiL,2025-03-28,2025,3,28,1531,India,IN-MH-SI,Maharashtra,Sindhudurg,Khadpade Ghat,15.8166061,73.9781884,"",,Unspecified,"","",,,,,,,S221774397,"",,,,,Harpactes fasciatus,maltro1,Species,9366,,5.00,1,,,
633008080,Audio,Malabar Trogon,Harpactes fasciatus,,,Vaibhav PatiL,2025-03-28,2025,3,28,1531,India,IN-MH-SI,Maharashtra,Sindhudurg,Khadpade Ghat,15.8166061,73.9781884,"",,Unspecified,"","",,,,,,,S221774397,"",,,,,Harpactes fasciatus,maltro1,Species,9366,,5.00,2,,,
633008076,Audio,Malabar Trogon,Harpactes fasciatus,,,Vaibhav PatiL,2025-03-28,2025,3,28,1531,India,IN-MH-SI,Maharashtra,Sindhudurg,Khadpade Ghat,15.8166061,73.9781884,"",,Unspecified,"","",,,,,,,S221774397,"",,,,,Harpactes fasciatus,maltro1,Species,9366,,5.00,1,,,
633008078,Audio,Malabar Trogon,Harpactes fasciatus,,,Vaibhav PatiL,2025-03-28,2025,3,28,1531,India,IN-MH-SI,Maharashtra,Sindhudurg,Khadpade Ghat,15.8166061,73.9781884,"",,Unspecified,"","",,,,,,,S221774397,"",,,,,Harpactes fasciatus,maltro1,Species,9366,,5.00,1,,,
633007918,Audio,Malabar Grey Hornbill,Ocyceros griseus,,,Vaibhav PatiL,2025-03-28,2025,3,28,1015,India,IN-MH-SI,Maharashtra,Sindhudurg,Talkat Vanudyan,15.8071402,73.9522552,"",,Unspecified,"","",,,,,,,S221785156,"",,,,,Ocyceros griseus,maghor2,Species,9623,,.00,0,,,
633007919,Audio,Malabar Grey Hornbill,Ocyceros griseus,,,Vaibhav PatiL,2025-03-28,2025,3,28,1015,India,IN-MH-SI,Maharashtra,Sindhudurg,Talkat Vanudyan,15.8071402,73.9522552,"",,Unspecified,"","",,,,,,,S221785156,"",,,,,Ocyceros griseus,maghor2,Species,9623,,.00,0,,,
633007807,Audio,Sri Lanka Frogmouth,Batrachostomus moniliger,,,Vaibhav PatiL,2025-03-29,2025,3,29,1948,India,IN-MH-SI,Maharashtra,Sindhudurg,Khadpade Ghat,15.8166061,73.9781884,"",,Unspecified,"","",,,,,,,S221585130,"",,,,,Batrachostomus moniliger,ceyfro1,Species,3735,,5.00,1,,,
633007806,Audio,Sri Lanka Frogmouth,Batrachostomus moniliger,,,Vaibhav PatiL,2025-03-29,2025,3,29,1948,India,IN-MH-SI,Maharashtra,Sindhudurg,Khadpade Ghat,15.8166061,73.9781884,"",,Unspecified,"","",,,,,,,S221585130,"",,,,,Batrachostomus moniliger,ceyfro1,Species,3735,,5.00,1,,,
633007805,Audio,Sri Lanka Frogmouth,Batrachostomus moniliger,,,Vaibhav PatiL,2025-03-29,2025,3,29,1948,India,IN-MH-SI,Maharashtra,Sindhudurg,Khadpade Ghat,15.8166061,73.9781884,"",,Unspecified,"","",,,,,,,S221585130,"",,,,,Batrachostomus moniliger,ceyfro1,Species,3735,,5.00,1,,,
633007804,Audio,Sri Lanka Frogmouth,Batrachostomus moniliger,,,Vaibhav PatiL,2025-03-29,2025,3,29,1948,India,IN-MH-SI,Maharashtra,Sindhudurg,Khadpade Ghat,15.8166061,73.9781884,"",,Unspecified,"","",,,,,,,S221585130,"",,,,,Batrachostomus moniliger,ceyfro1,Species,3735,,5.00,1,,,
633007680,Audio,Brown-headed Barbet (Large Green Barbet),Psilopogon zeylanicus,,,Shwetha Bharathi,2025-03-16,2025,3,16,1053,India,IN-TN-KK,Tamil Nadu,Kanniyakumari,Puthalam Salt Pans,8.1103715,77.4724469,"",,Unspecified,"","",,,,,,,S220607209,"",,,,Call heard,Psilopogon zeylanicus,brhbar1,Species,10641,,.00,0,,,
633007679,Audio,Brown-headed Barbet (Large Green Barbet),Psilopogon zeylanicus,,,Shwetha Bharathi,2025-03-16,2025,3,16,1053,India,IN-TN-KK,Tamil Nadu,Kanniyakumari,Puthalam Salt Pans,8.1103715,77.4724469,"",,Unspecified,"","",,,,,,,S220607209,"",,,,Call heard,Psilopogon zeylanicus,brhbar1,Species,10641,,.00,0,,,
633006446,Audio,Brown-headed Barbet (Large Green Barbet),Psilopogon zeylanicus,,,Shwetha Bharathi,2025-03-17,2025,3,17,1310,India,IN-TN-TI,Tamil Nadu,Tirunelveli,Mundanthurai Forest Guest House,8.6808424,77.3465081,"",,Unspecified,"","",,,,,,,S220602294,"",,,,,Psilopogon zeylanicus,brhbar1,Species,10641,,.00,0,,,
633006447,Audio,Brown-headed Barbet (Large Green Barbet),Psilopogon zeylanicus,,,Shwetha Bharathi,2025-03-17,2025,3,17,1310,India,IN-TN-TI,Tamil Nadu,Tirunelveli,Mundanthurai Forest Guest House,8.6808424,77.3465081,"",,Unspecified,"","",,,,,,,S220602294,"",,,,,Psilopogon zeylanicus,brhbar1,Species,10641,,.00,0,,,
633006434,Audio,Coppersmith Barbet,Psilopogon haemacephalus,,,Shwetha Bharathi,2025-03-17,2025,3,17,1310,India,IN-TN-TI,Tamil Nadu,Tirunelveli,Mundanthurai Forest Guest House,8.6808424,77.3465081,"",,Unspecified,"","",,,,,,,S220602294,"",,,,,Psilopogon haemacephalus,copbar1,Species,10586,,.00,0,,,
633006186,Audio,Brown-headed Barbet (Large Green Barbet),Psilopogon zeylanicus,,,Shwetha Bharathi,2025-03-17,2025,3,17,1655,India,IN-TN-TI,Tamil Nadu,Tirunelveli,Papanasam Lower Dam Settlement ( Papanasam RF),8.7030739,77.3572767,"",,Unspecified,"","",,,,,,,S220607112,"",,,,,Psilopogon zeylanicus,brhbar1,Species,10641,,.00,0,,,
633006088,Audio,Indian Scops-Owl (Collared Scops-Owl),Otus bakkamoena,,,Shwetha Bharathi,2025-03-18,2025,3,18,553,India,IN-TN-TI,Tamil Nadu,Tirunelveli,Mundanthurai Forest Guest House,8.6808424,77.3465081,"",,Unspecified,"","",,,,,,,S220857565,"",,,,,Otus bakkamoena,insowl1,Species,8589,,.00,0,,,
633006059,Audio,Grey Junglefowl,Gallus sonneratii,,,Shwetha Bharathi,2025-03-18,2025,3,18,609,India,IN-TN-TI,Tamil Nadu,Tirunelveli,Mundanthurai Forest Guest House,8.6808424,77.3465081,"",,Unspecified,"","",,,,,,,S220857635,"",,,,,Gallus sonneratii,grejun2,Species,1593,,.00,0,,,
633006035,Audio,Greenish Warbler,Phylloscopus trochiloides,,,Shwetha Bharathi,2025-03-18,2025,3,18,609,India,IN-TN-TI,Tamil Nadu,Tirunelveli,Mundanthurai Forest Guest House,8.6808424,77.3465081,"",,Unspecified,"","",,,,,,,S220857635,"",,,,,Phylloscopus trochiloides,grewar3,Species,24691,,.00,0,,,
633005832,Audio,Zitting Cisticola,Cisticola juncidis,,,Shwetha Bharathi,2025-03-18,2025,3,18,1155,India,IN-TN-TE,Tamil Nadu,Tenkasi,Vaghai Kulam,8.7931080,77.3812820,"",,Unspecified,"","",,,,,,,S220602499,"",,,,,Cisticola juncidis,zitcis1,Species,23300,,.00,0,,,
633005400,Audio,Asian Koel,Eudynamys scolopaceus,,,Chethana G,2025-03-17,2025,3,17,1755,India,IN-KA-BN,Karnataka,Bengaluru Urban,"2nd Cross Road, Bengaluru IN-Karnataka 13.10501, 77.47765",13.1050110,77.4776500,"",,Unspecified,"","",,,,,,,S219034275,"",,,,"Saw near garden, black with dull lime-green bill, red eyes similar to peafowl call.",Eudynamys scolopaceus,asikoe2,Species,3219,,.00,0,,,
633005267,Audio,Common Babbler,Argya caudata,,,Shwetha Bharathi,2025-03-20,2025,3,20,908,India,IN-TN-TK,Tamil Nadu,Thoothukudi,Keelavaippar - Scrub Patch,9.0047383,78.2586699,"",,Unspecified,"","",,,,,,,S220607188,"",,,,Heard & seen,Argya caudata,combab3,Species,26387,,.00,0,,,
633005266,Audio,Common Babbler,Argya caudata,,,Shwetha Bharathi,2025-03-20,2025,3,20,908,India,IN-TN-TK,Tamil Nadu,Thoothukudi,Keelavaippar - Scrub Patch,9.0047383,78.2586699,"",,Unspecified,"","",,,,,,,S220607188,"",,,,Heard & seen,Argya caudata,combab3,Species,26387,,.00,0,,,
633004363,Audio,Black-winged Stilt,Himantopus himantopus,,,Shwetha Bharathi,2025-03-21,2025,3,21,1720,India,IN-TN-KK,Tamil Nadu,Kanniyakumari,Keezha Puthalam Salt Pans,8.1013199,77.4794755,"",,Unspecified,"","",,,,,,,S220815511,"",,,,,Himantopus himantopus,bkwsti,Species,5706,,.00,0,,,
633004297,Audio,White-bellied Blue Flycatcher,Cyornis pallidipes,,,Shwetha Bharathi,2025-03-22,2025,3,22,622,India,IN-TN-KK,Tamil Nadu,Kanniyakumari,"Keeriparai (8.378, 77.408)",8.3780686,77.4079783,"",,Unspecified,"","",,,,,,,S220815683,"",,,,,Cyornis pallidipes,wbbfly1,Species,28850,,.00,0,,,
633004282,Audio,Malabar Woodshrike,Tephrodornis sylvicola,,,Shwetha Bharathi,2025-03-22,2025,3,22,622,India,IN-TN-KK,Tamil Nadu,Kanniyakumari,"Keeriparai (8.378, 77.408)",8.3780686,77.4079783,"",,Unspecified,"","",,,,,,,S220815683,"",,,,,Tephrodornis sylvicola,malwoo1,Species,19716,,.00,0,,,
633004289,Audio,"Blyth's Reed Warbler",Acrocephalus dumetorum,,,Shwetha Bharathi,2025-03-22,2025,3,22,622,India,IN-TN-KK,Tamil Nadu,Kanniyakumari,"Keeriparai (8.378, 77.408)",8.3780686,77.4079783,"",,Unspecified,"","",,,,,,,S220815683,"",,,,,Acrocephalus dumetorum,blrwar1,Species,23442,,.00,0,,,
633004284,Audio,Malabar Woodshrike,Tephrodornis sylvicola,,,Shwetha Bharathi,2025-03-22,2025,3,22,622,India,IN-TN-KK,Tamil Nadu,Kanniyakumari,"Keeriparai (8.378, 77.408)",8.3780686,77.4079783,"",,Unspecified,"","",,,,,,,S220815683,"",,,,,Tephrodornis sylvicola,malwoo1,Species,19716,,.00,0,,,
633004283,Audio,Malabar Woodshrike,Tephrodornis sylvicola,,,Shwetha Bharathi,2025-03-22,2025,3,22,622,India,IN-TN-KK,Tamil Nadu,Kanniyakumari,"Keeriparai (8.378, 77.408)",8.3780686,77.4079783,"",,Unspecified,"","",,,,,,,S220815683,"",,,,,Tephrodornis sylvicola,malwoo1,Species,19716,,.00,0,,,
633004276,Audio,Vernal Hanging-Parrot (Indian Lorikeet),Loriculus vernalis,,,Shwetha Bharathi,2025-03-22,2025,3,22,622,India,IN-TN-KK,Tamil Nadu,Kanniyakumari,"Keeriparai (8.378, 77.408)",8.3780686,77.4079783,"",,Unspecified,"","",,,,,,,S220815683,"",,,,,Loriculus vernalis,vehpar1,Species,12585,,.00,0,,,
633004271,Audio,White-cheeked Barbet (Small Green Barbet),Psilopogon viridis,,,Shwetha Bharathi,2025-03-22,2025,3,22,622,India,IN-TN-KK,Tamil Nadu,Kanniyakumari,"Keeriparai (8.378, 77.408)",8.3780686,77.4079783,"",,Unspecified,"","",,,,,,,S220815683,"",,,,,Psilopogon viridis,whcbar1,Species,10646,,.00,0,,,
633004261,Audio,Indian Cuckoo,Cuculus micropterus,,,Shwetha Bharathi,2025-03-22,2025,3,22,622,India,IN-TN-KK,Tamil Nadu,Kanniyakumari,"Keeriparai (8.378, 77.408)",8.3780686,77.4079783,"",,Unspecified,"","",,,,,,,S220815683,"",,,,Calls heard.. recorded too..,Cuculus micropterus,indcuc1,Species,3381,,.00,0,,,
633004262,Audio,Indian Cuckoo,Cuculus micropterus,,,Shwetha Bharathi,2025-03-22,2025,3,22,622,India,IN-TN-KK,Tamil Nadu,Kanniyakumari,"Keeriparai (8.378, 77.408)",8.3780686,77.4079783,"",,Unspecified,"","",,,,,,,S220815683,"",,,,Calls heard.. recorded too..,Cuculus micropterus,indcuc1,Species,3381,,.00,0,,,
633004222,Audio,Ficedula flycatcher sp.,Ficedula sp.,,,Shwetha Bharathi,2025-03-22,2025,3,22,720,India,IN-TN-KK,Tamil Nadu,Kanniyakumari,"Veerapuli R.F. (8.363, 77.402)",8.3634349,77.4015049,"",,Unspecified,"","",,,,,,,S220815699,"",,,,,Ficedula sp.,ficedu1,Spuh,29329,,.00,0,,,
633004141,Audio,"Loten's Sunbird (Long-billed Sunbird)",Cinnyris lotenius,,,Shwetha Bharathi,2025-03-26,2025,3,26,705,India,IN-KA-UD,Karnataka,Udupi,"Pareeka road, Parkala",13.3604716,74.8248825,"",,Unspecified,"","",,,,,,,S221002653,"",,,,,Cinnyris lotenius,lobsun2,Species,30226,,.00,0,,,
633004132,Audio,Green Warbler,Phylloscopus nitidus,,,Shwetha Bharathi,2025-03-26,2025,3,26,705,India,IN-KA-UD,Karnataka,Udupi,"Pareeka road, Parkala",13.3604716,74.8248825,"",,Unspecified,"","",,,,,,,S221002653,"",,,,,Phylloscopus nitidus,grnwar1,Species,24690,,.00,0,,,
633004101,Audio,Rufous Babbler,Argya subrufa,,,Shwetha Bharathi,2025-03-30,2025,3,30,721,India,IN-KA-UD,Karnataka,Udupi,"Pareeka road, Parkala",13.3604716,74.8248825,"",,Unspecified,"","",,,,,,,S222187817,"",,,,,Argya subrufa,rufbab3,Species,26358,,.00,0,,,
633004100,Audio,Rufous Babbler,Argya subrufa,,,Shwetha Bharathi,2025-03-30,2025,3,30,721,India,IN-KA-UD,Karnataka,Udupi,"Pareeka road, Parkala",13.3604716,74.8248825,"",,Unspecified,"","",,,,,,,S222187817,"",,,,,Argya subrufa,rufbab3,Species,26358,,.00,0,,,
633004022,Audio,Spot-breasted Fantail (White-spotted Fantail),Rhipidura albogularis,,,Shwetha Bharathi,2025-03-31,2025,3,31,838,India,IN-KA-UK,Karnataka,Uttara Kannada,Chittekambi ಚಿಟ್ಟೆಕಂಬಿ,14.4746803,74.4080075,"",,Unspecified,"","",,,,,,,S222187892,"",,,,"Heard & seen,  calls recorded..",Rhipidura albogularis,spbfan1,Species,20068,,.00,0,,,
633003962,Audio,"Pallas's Grasshopper Warbler",Helopsaltes certhiola,,,Swapnil Thatte,2025-03-22,2025,3,22,730,India,IN-MH-TH,Maharashtra,Thane,Kopar Creek-- Dombivali,19.2156805,73.0701998,"",,Unspecified,"","",,,,,,,S219910106,"",,,,Seen thrice. Was continously moving in the reeds. Gave calls couple of times. Photographed & calls recorded.,Helopsaltes certhiola,pagwar1,Species,23555,,.00,0,,,
633003303,Audio,Jungle Nightjar (Indian Jungle Nightjar),Caprimulgus indicus,,,sudhanshu hegde,2025-03-31,2025,3,31,1830,India,IN-KA-UK,Karnataka,Uttara Kannada,surkatte kallare,14.2908736,74.4813951,"",,Unspecified,"","",,,,,,,S222203641,"",,,,"Everyday I can hear it's called in these days. Its a laterite habitat. A hill with only few bushes. And at somepart there is thick vegetation on slopes. I hear them on the top of hill with other nightjars",Caprimulgus indicus,grynig2,Species,3578,,.00,0,,,
633001619,Audio,Common Hill Myna,Gracula religiosa,,,Aaytu Ram Kashyap,2025-03-23,2025,3,23,1755,India,IN-CT-BA,Chhattisgarh,Bastar,"Kachandi Nala, Bastar, Chhattisgarh, IN (18.911, 81.897)",18.9112340,81.8972148,"",,Unspecified,"","",,,,,,,S222203875,"",,,,,Gracula religiosa,hilmyn,Species,27558,,.00,0,,,
633001609,Audio,White-bellied Woodpecker (Great Black Woodpecker),Dryocopus javensis,,,Aaytu Ram Kashyap,2025-03-23,2025,3,23,1755,India,IN-CT-BA,Chhattisgarh,Bastar,"Kachandi Nala, Bastar, Chhattisgarh, IN (18.911, 81.897)",18.9112340,81.8972148,"",,Unspecified,"","",,,,,,,S222203875,"",,,,,Dryocopus javensis,whbwoo2,Species,11652,,.00,0,,,
632975499,Audio,Black-throated Parrotbill,Suthora nipalensis,,,Deidre Asbjorn,2025-03-04,2025,3,4,1248,India,IN-SK-NS,Sikkim,North Sikkim,"Lachen Road, North Sikkim, Sikkim, IN (27.683, 88.592)",27.6830063,88.5923253,"",,Unspecified,"","",,,,,,,S216556506,"",,,,,Suthora nipalensis,bltpar1,Species,25232,,.00,0,,,
632975460,Audio,Black-faced Laughingthrush,Trochalopteron affine,,,Deidre Asbjorn,2025-03-04,2025,3,4,632,India,IN-SK-NS,Sikkim,North Sikkim,Lachen,27.7163500,88.5597100,"",,Unspecified,"","",,,,,,,S216534429,"",,,,,Trochalopteron affine,blflau1,Species,26206,,.00,0,,,
632975115,Audio,Greater Necklaced Laughingthrush,Pterorhinus pectoralis,,,Deidre Asbjorn,2025-03-07,2025,3,7,552,India,IN-SK-ES,Sikkim,East Sikkim,Dikling Pacheykhani Forest,27.2184997,88.6063251,"",,Unspecified,"","",,,,,,,S217000758,"",,,,,Pterorhinus pectoralis,gnlthr,Species,26555,,.00,0,,,
632975046,Audio,Grey Treepie,Dendrocitta formosae,,,Deidre Asbjorn,2025-03-07,2025,3,7,552,India,IN-SK-ES,Sikkim,East Sikkim,Dikling Pacheykhani Forest,27.2184997,88.6063251,"",,Unspecified,"","",,,,,,,S217000758,"",,,,,Dendrocitta formosae,grytre1,Species,21220,,.00,0,,,
632974367,Audio,Rusty-capped Fulvetta,Schoeniparus dubius,,,Deidre Asbjorn,2025-03-17,2025,3,17,642,India,IN-NL-PH,Nagaland,Phek,"Kohima - Meluri Road, Pfutsero, Nagaland, IN (25.558, 94.308)",25.5577943,94.3081727,"",,Unspecified,"","",,,,,,,S219168768,"",,,,,Schoeniparus dubius,rucful1,Species,25946,,.00,0,,,
632973837,Audio,Crested Finchbill,Spizixos canifrons,,,Deidre Asbjorn,2025-03-18,2025,3,18,532,India,IN-NL-KO,Nagaland,Kohima,Khonoma--Adler Cottage Trail (Merhu Zie),25.6394971,94.0194925,"",,Unspecified,"","",,,,,,,S219168855,"",,,,,Spizixos canifrons,crefin1,Species,24425,,.00,0,,,
632973816,Audio,Pygmy Cupwing (Pygmy Wren-Babbler),Pnoepyga pusilla,,,Deidre Asbjorn,2025-03-18,2025,3,18,532,India,IN-NL-KO,Nagaland,Kohima,Khonoma--Adler Cottage Trail (Merhu Zie),25.6394971,94.0194925,"",,Unspecified,"","",,,,,,,S219168855,"",,,,,Pnoepyga pusilla,pywbab1,Species,23759,,.00,0,,,
632973793,Audio,Great Barbet,Psilopogon virens,,,Deidre Asbjorn,2025-03-18,2025,3,18,532,India,IN-NL-KO,Nagaland,Kohima,Khonoma--Adler Cottage Trail (Merhu Zie),25.6394971,94.0194925,"",,Unspecified,"","",,,,,,,S219168855,"",,,,,Psilopogon virens,grebar1,Species,10614,,.00,0,,,
632972245,Audio,Grey Peacock-Pheasant,Polyplectron bicalcaratum,,,Agniva Dasgupta,2025-03-27,2025,3,27,805,India,IN-AS-TI,Assam,Tinsukia,Dihing Patkai NP--Soraipung (Core area),27.2962456,95.4874729,Adult Male – 1,Foraging or Eating,Unspecified,"","",,,Samsung a22,N.A,N.A,,S221033442,"",,,,Seen and photographed,Polyplectron bicalcaratum,grypep2,Species,1573,,4.00,1,"",,
632964458,Audio,Spotted Owlet,Athene brama,,,Anonymous,2025-03-27,2025,3,27,2230,India,IN-MH-MS,Maharashtra,Mumbai Suburban,IIT Bombay,19.1278560,72.9135990,"",,Unspecified,"","",,,,,,,S222087158,"",,,,"Not seen, heard clearly, ID'ed by Merlin",Athene brama,spoowl1,Species,9000,,1.00,1,,,
632964165,Audio,Common Tailorbird,Orthotomus sutorius,,,Gayathri Mukunda,2025-03-31,2025,3,31,725,India,IN-KA-MY,Karnataka,Mysuru,9th cross vijayanagar 1st stage mysuru,12.3301926,76.6167526,"",,Unspecified,"","",,,,,,,S222085282,"",,,,,Orthotomus sutorius,comtai1,Species,22921,,.00,0,,,
632963439,Audio,Blue-bearded Bee-eater,Nyctyornis athertoni,,,H Nambiar,2025-03-31,2025,3,31,1701,India,IN-KL-KT,Kerala,Kottayam,"Melukavu - Mechal Road, Kottayam, Kerala, IN (9.809, 76.752)",9.8090038,76.7519514,"",,Unspecified,"","",,,,,,,S222026176,"",,,,"Slightly amplified recording added, stopped the vehicle hearing this call, it took flight by the time we spotted it, saw clearly, didnt vocalise for next 5 minutes or so and then as we were about to move it made this call, couldnt record the full length, managed just 50% and it flew off further and we moved on.",Nyctyornis athertoni,bbbeat1,Species,9666,,.00,0,,,
632959954,Audio,Black Kite,Milvus migrans,,,Gayathri Mukunda,2025-03-30,2025,3,30,1045,India,IN-KA-MY,Karnataka,Mysuru,Devarakere hinkal,12.3320796,76.6059012,"",,Unspecified,"","",,,,,,,S221870726,"",,,,,Milvus migrans,blakit1,Species,8249,,1.00,1,,,
632959881,Audio,Ashy Prinia,Prinia socialis,,,Gayathri Mukunda,2025-03-30,2025,3,30,1030,India,IN-KA-MY,Karnataka,Mysuru,Devarakere hinkal,12.3320796,76.6059012,"",,Unspecified,"","",,,,,,,S222060676,"",,,,,Prinia socialis,ashpri1,Species,23045,,.00,0,,,
